weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -4.739883126239752164e+05 2.054273671396392863e+06 2.815124334463650939e+02 1.651420407268710938e+13 9.795248149977184293e-02 4.203276675846695980e+02 7.100795709679274204e+00
0.000000000000000000e+00 -4.588524746726343874e+05 2.172455144647077657e+06 2.892297401422571852e+02 1.875042042974207812e+13 9.143791916471670500e-02 4.619811554144225170e+02 9.302141340978668183e+00
0.000000000000000000e+00 -4.587290784625803353e+05 4.381847008643459529e+06 2.318617113491721398e+02 1.798745441925847656e+13 8.806830241203969512e-02 4.193066815849887803e+02 7.996551165378249948e+00
0.000000000000000000e+00 -4.515524834903742303e+05 4.503967826083846390e+06 2.314193653625517584e+02 1.489169672872460156e+13 9.456492059376347958e-02 4.850483897447890058e+01 1.846035741982079159e+01
0.000000000000000000e+00 -4.191449141960057314e+05 3.872495190397463739e+06 6.628540839157550124e+01 1.629129701967630469e+13 9.919427876446158809e-02 2.993190761840778578e+02 1.718827562358315220e+01
0.000000000000000000e+00 -4.180760863158947323e+05 4.138990021585063078e+06 4.164310817697849529e+02 1.603725645173186719e+13 7.359149261706154910e-02 2.978188384347831743e+02 1.448994306194208193e+01
0.000000000000000000e+00 -4.035109993431771873e+05 3.477479861975831445e+06 1.407121135262605662e+02 1.556881872019826953e+13 9.616228836360499188e-02 4.661186470342606185e+02 9.765228869027403391e+00
0.000000000000000000e+00 -3.876147063208644395e+05 2.330013418989231344e+06 3.309166196047639232e+02 1.328860201364115625e+13 9.617762303945288915e-02 2.237094016832428167e+02 8.261458647409838818e+00
0.000000000000000000e+00 -3.835019257972416235e+05 4.627891867138595320e+06 3.260456094261158455e+02 8.167795616872527344e+12 9.807371549142882006e-02 1.018372899395964879e+02 4.455177309010359465e+00
0.000000000000000000e+00 -3.830846308753056219e+05 4.852438232987135649e+06 3.759059512734426107e+02 7.195443341090250977e+12 9.170065148795314425e-02 1.050819268438480947e+02 4.123629900174616836e+00
0.000000000000000000e+00 -3.781889315805002698e+05 4.708028699521971866e+06 3.981798519450014169e+02 1.544879735629958789e+13 6.620699103651141171e-02 1.202619553752991806e+02 5.863329716271379333e+00
0.000000000000000000e+00 -3.702823956856136210e+05 3.756079284133881796e+06 7.782494855518437760e+01 1.878855176589035156e+13 9.066462766563895825e-02 6.220816662715442646e+01 6.917071220976956702e+00
0.000000000000000000e+00 -3.692747013134423760e+05 3.718288432428739965e+06 1.764280212015615348e+02 1.691817898445303516e+13 8.892941626883667239e-02 1.519674162345120294e+02 3.696991428574381011e+00
0.000000000000000000e+00 -3.645015305720577016e+05 3.128894556005464401e+06 4.362345096890084619e+02 1.924945531382782812e+13 7.064167114013079896e-02 3.220389234186026783e+02 3.703638598537621451e+00
0.000000000000000000e+00 -3.601635321724258247e+05 4.313995148277306929e+06 1.869886012208173440e+02 1.195758944923618359e+13 9.751131048992271733e-02 1.895301385409882471e+02 1.285667236210896291e+01
0.000000000000000000e+00 -3.565853661635854514e+05 4.538584602874351665e+06 3.815993435475655815e+02 1.903485290883975781e+13 6.005830302737812793e-02 4.370406690941268266e+02 1.406554081714212856e+01
0.000000000000000000e+00 -3.553279987050513155e+05 1.254253824782685610e+06 5.254568527511689524e+01 1.631638873576381250e+13 9.671111187608127935e-02 1.583572503428604250e+02 2.921417192398820806e+00
0.000000000000000000e+00 -3.415580781979871681e+05 2.670101233767389320e+06 3.646405310959075905e+02 1.215916308507494336e+13 9.064961254262919599e-02 1.659052209623364433e+02 6.308627890645349012e+00
0.000000000000000000e+00 -3.398838550422165426e+05 4.944888322184789926e+06 4.201610592727375320e+02 9.244538130929476562e+12 6.157715973609154819e-02 6.076535501140689632e+01 3.615456004429832948e+00
0.000000000000000000e+00 -3.391364831237490289e+05 4.038254553198253270e+06 1.933044349662935701e+02 1.346927281902674609e+13 9.163468702270601007e-02 1.417987514470283656e+02 9.998839003325297625e+00
0.000000000000000000e+00 -3.358576844812154304e+05 2.355689047264558263e+06 4.135378288564526770e+02 1.027693988760345703e+13 9.590033610658726948e-02 8.718420012976292810e+01 8.080802269372915347e+00
0.000000000000000000e+00 -3.320552903487254516e+05 3.563608688920905348e+06 3.376126370122865410e+02 7.961034245542232422e+12 9.960351673483991419e-02 3.331862034451634713e+01 1.682387283066389472e+01
0.000000000000000000e+00 -3.289061410059824702e+05 4.917496243049077690e+06 1.628463551204883970e+02 1.895526181460176562e+13 7.910549726238408352e-02 3.259575655018416001e+02 7.282713582980777645e+00
0.000000000000000000e+00 -3.212062131915243226e+05 2.694520868843377568e+06 4.126029055183576020e+02 1.557472842019265625e+13 7.729462023641382740e-02 8.768696395171933489e+01 1.788028550069768130e+01
0.000000000000000000e+00 -3.199794607553469250e+05 2.233606015146657825e+06 4.426433773922803425e+02 9.736429622407285156e+12 9.549982569056708614e-02 2.543014916775629075e+01 1.315517440844572405e+01
0.000000000000000000e+00 -3.159561822685181396e+05 1.933234067843124736e+06 2.698625397887498139e+02 1.468624288753448047e+13 8.911296940178370374e-02 4.170644784270721743e+02 1.680974503865267877e+01
0.000000000000000000e+00 -3.128491168522775406e+05 4.418394113528056070e+06 2.834274887439003692e+02 1.873652252722694531e+13 6.813056952666796118e-02 3.036328243764887134e+02 1.006166269238094912e+01
0.000000000000000000e+00 -3.086138811691711308e+05 3.589002966547290329e+06 4.038787310227193643e+02 6.604903443510123047e+12 9.063148302790959010e-02 3.911389714485632112e+02 9.155388863928520138e+00
0.000000000000000000e+00 -3.057581666272160364e+05 4.728965247184894979e+06 1.848265596327455569e+02 1.700782408389499609e+13 7.840866496576325007e-02 3.084500670445515311e+02 1.133237383742034687e+01
0.000000000000000000e+00 -3.053162778440302936e+05 3.382290650697857141e+06 1.388167103251838057e+02 1.690336207668564453e+13 8.581062434304458086e-02 2.004949555164660069e+02 8.638974239766600505e+00
0.000000000000000000e+00 -3.024701252476930385e+05 4.784700234892932698e+06 3.140165572461631314e+02 7.278765872142527344e+12 8.436496531197359983e-02 3.884804318495908433e+02 1.782721780601682937e+01
0.000000000000000000e+00 -3.004657578310521203e+05 4.674948035921269096e+06 2.826635543589866302e+02 1.613498193844620898e+13 6.938803030383933201e-02 1.201110613932210640e+02 1.895310001365347574e+01
0.000000000000000000e+00 -2.943678271604444017e+05 2.492155870825519785e+06 2.911791955080705065e+02 1.730355142675109961e+13 7.797708764920514846e-02 4.737640866087906488e+02 1.109737547828797943e+01
0.000000000000000000e+00 -2.886794506374932826e+05 4.924883896696828306e+06 2.221076474789909412e+02 1.847102440988452734e+13 7.017361663468231481e-02 1.520800475416698418e+02 8.768748282626997792e+00
0.000000000000000000e+00 -2.882351413807605277e+05 3.360479115023512393e+06 1.990975441288682646e+01 1.547409701028956641e+13 9.287624533551554207e-02 4.602408737285867915e+02 2.045952939019300310e+00
0.000000000000000000e+00 -2.880182289354875102e+05 2.921854514646122232e+06 4.419295827368293885e+02 1.790119872830975781e+13 6.485826532331552541e-02 9.719793844472815181e+01 4.151381367282915846e+00
0.000000000000000000e+00 -2.877070214855217491e+05 4.751329640352406539e+06 3.542278185607351588e+02 1.681127479006261523e+13 5.288982314778479382e-02 2.963675204464174726e+02 1.028447818808489167e+01
0.000000000000000000e+00 -2.872211543140967842e+05 4.147545445947729517e+06 9.717866779046802606e+01 1.664856592577088477e+13 8.567481516143395093e-02 2.178281101641130419e+02 1.996133107245682936e+01
0.000000000000000000e+00 -2.868006640552147292e+05 3.290205229222921189e+06 4.162563288722993775e+02 1.508165133657213672e+13 6.704929818814206466e-02 7.448958954218410611e+01 2.013506820442416689e+00
0.000000000000000000e+00 -2.827120317127244780e+05 4.790381275864496827e+06 4.249558271136990584e+02 1.318622589025816797e+13 9.706611118209515499e-03 4.748513723031090308e+02 7.476274312353863749e+00
0.000000000000000000e+00 -2.809748320566064795e+05 4.476369904655899853e+06 1.576348569849076569e+02 1.356231472893273047e+13 8.654590331902679845e-02 1.614198774043671563e+02 1.176051879209354034e+01
0.000000000000000000e+00 -2.790706328234431567e+05 3.250031854241424240e+06 3.203740873776388867e+02 9.819558751886734375e+12 8.825668899519975574e-02 7.699150417182470107e+01 4.758683926054389168e+00
0.000000000000000000e+00 -2.769554372403391753e+05 4.044675153797371313e+06 4.180604341231152716e+02 6.955657934934871094e+12 6.957070912370361127e-02 2.659069209739383268e+02 3.510743158093472704e+00
0.000000000000000000e+00 -2.753433515911748400e+05 4.522899482308754697e+06 1.368241416421031431e+02 1.479676336853272852e+13 8.379952584767524915e-02 3.888142748065629917e+02 1.895032810404584112e+01
0.000000000000000000e+00 -2.742069566767914221e+05 2.579494193665584084e+06 3.825147114593011679e+02 1.397307053583032031e+13 7.772292089479325428e-02 1.980833529981695662e+01 5.205424040624746063e+00
0.000000000000000000e+00 -2.720995268918990041e+05 4.296853620201885700e+06 3.995069833252856597e+02 1.727708843758905469e+13 4.728166021283778525e-02 1.495216108468145535e+02 1.196459434445063330e+01
0.000000000000000000e+00 -2.695959402273001615e+05 1.375517704345767852e+06 5.853202264966547830e+01 1.820628938423157812e+13 8.544638640272719798e-02 3.529723985591296014e+02 2.298772738309700969e+00
0.000000000000000000e+00 -2.688416467818802339e+05 2.913499626935887150e+06 3.483037968201235799e+02 1.556380962620975391e+13 7.181277894574060461e-02 3.028027483365420949e+02 1.974976966287275104e+01
0.000000000000000000e+00 -2.676928430557883694e+05 4.405971308148954064e+06 2.543612620582002535e+02 7.337242542807463867e+12 9.495111905310210654e-02 1.540009690172094459e+01 5.360315030219839905e+00
0.000000000000000000e+00 -2.664529768424909562e+05 4.914446132743268274e+06 2.475514792860938940e+02 1.376598591658557422e+13 7.091607042983946729e-02 2.319744896655775506e+02 1.496946296072110449e+01
0.000000000000000000e+00 -2.647824716752648819e+05 1.618638104625175707e+06 1.404823897485103998e+02 1.150839532077551367e+13 9.729723383949125115e-02 4.996511423761526203e+02 1.925483281589967532e+01
