rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.901180603526875377e+06 2.214014477530724889e+01 5.345198900246994141e+12 3.829278973495996163e-02 4.996941564820163535e+02 3.890673280088072783e+00
4.982782624484537169e+06 2.258108809422107655e+01 5.017264039659535156e+12 3.913824290037333509e-02 4.983515209483880994e+02 3.737987946963980512e+00
4.932750619448244572e+06 2.218395172502403767e+01 5.209903527432995117e+12 3.854481412279526370e-02 4.957485461433961973e+02 3.941702571277923006e+00
4.959784365541609935e+06 2.273156793126960551e+01 5.812821154528578125e+12 3.728704118221550651e-02 4.997607556342493353e+02 3.622899707080837750e+00
4.983828575799241662e+06 2.218284170013588863e+01 5.348242888073951172e+12 3.810519716974473253e-02 4.984995009180232728e+02 3.716763914632811971e+00
4.924089605253454298e+06 2.247897281395282931e+01 5.014766913236490234e+12 3.981269906761683575e-02 4.924693359669624897e+02 3.860109055103488895e+00
4.890760813850883394e+06 2.302763202591738079e+01 5.034861549740263672e+12 3.959426190948273083e-02 4.998983756812101547e+02 3.647966246810082414e+00
4.990407893460934982e+06 2.171206144317640252e+01 5.100470900536539062e+12 3.968697665632038574e-02 4.987100546979029900e+02 3.763515083632238412e+00
4.937179060725243762e+06 2.281698891556450093e+01 5.162599298164647461e+12 3.858820682890603398e-02 4.992257237075587568e+02 3.699864416712972393e+00
4.940817312434075400e+06 2.323535299085834538e+01 5.033240508951655273e+12 3.954043524202630749e-02 4.990246402120766902e+02 3.645697934666308981e+00
4.966210913377977908e+06 2.250931893354783853e+01 5.006723166682814453e+12 3.912763212811774111e-02 4.996061961845762767e+02 3.919525351152183035e+00
4.759171533039731905e+06 2.282247568306863172e+01 5.015869261280169922e+12 3.936603578546754578e-02 4.998176254600992934e+02 3.843431012327784835e+00
4.978002028924549930e+06 2.163661088868423832e+01 5.576700256042417969e+12 3.844046444947635255e-02 4.995697669823653655e+02 3.850983840111085410e+00
4.957165711769919842e+06 2.303656802794715119e+01 5.007087207080861328e+12 3.932055363328921388e-02 4.963362672514294900e+02 3.648141275049969323e+00
4.991280365306087770e+06 2.179712335914068788e+01 5.206654392854273438e+12 3.842142496477710806e-02 4.978091599346481644e+02 3.913017056963555618e+00
4.944689333466685377e+06 2.278088310600430333e+01 5.121207901857479492e+12 3.852242006500023602e-02 4.981362112666529924e+02 3.865102119017228777e+00
4.969534998938127421e+06 2.292329321912086471e+01 5.103480418377364258e+12 3.919396961399154028e-02 4.983954757692870885e+02 3.652228275317871642e+00
4.898284614283969626e+06 2.253809630399151587e+01 5.018551651534409180e+12 3.900836606188595734e-02 4.958435885135634180e+02 3.973055593202348579e+00
4.917947448281300254e+06 2.212930743122853983e+01 5.146332647462157227e+12 3.926802785611754193e-02 4.980134556899041627e+02 3.781854231575328740e+00
4.914049412243131548e+06 2.230267341286030458e+01 5.026002088003458984e+12 3.937351098107479824e-02 4.987143380978427558e+02 3.789286007711641702e+00
4.996138830428946763e+06 2.232226393032574663e+01 5.286725749448057617e+12 3.860322715978219132e-02 4.985006454117062731e+02 3.790820589231870485e+00
4.983381147467205301e+06 2.229702823008860690e+01 5.409052414322458008e+12 3.833964425187376401e-02 4.964252890383913837e+02 3.872997022665495503e+00
4.968179610237778164e+06 2.277911577933761933e+01 5.142070060129316406e+12 3.938824242787759833e-02 4.947440968205992817e+02 3.758092772965572426e+00
4.987564922119414434e+06 2.281928051798258394e+01 5.038695473608981445e+12 3.911276835994166590e-02 4.979428845929634235e+02 3.729655423291745375e+00
4.889262630522122607e+06 2.230736904550447974e+01 5.280090344696563477e+12 3.842746572791705395e-02 4.987416001802405958e+02 3.809019889965223449e+00
