rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.969016846208089963e+06 2.222088338390809525e+01 5.121686738725669922e+12 3.867283980455496484e-02 4.995539864680055189e+02 3.778924050630104947e+00
4.994685949062470347e+06 2.151973953587508959e+01 5.263786126659560547e+12 3.880643362587365280e-02 4.991165090558491215e+02 3.831460732454928131e+00
4.930117824747370556e+06 2.383419271269018935e+01 5.002491647581670898e+12 3.900192433634846328e-02 4.992215497091273733e+02 3.692645527213783918e+00
4.952278465599449351e+06 2.224592886341385167e+01 5.055657557692590820e+12 3.934713527031444280e-02 4.997261126825441124e+02 3.687987822802210935e+00
4.951423271841373295e+06 2.258994496948802322e+01 5.023584055529524414e+12 3.959935145042089294e-02 4.991758360157431866e+02 3.714653458921431728e+00
4.961363447616287507e+06 2.194161269183484109e+01 5.014266289662240234e+12 3.979984152577307338e-02 4.995561412834329644e+02 3.859301634783072199e+00
4.963306569933434948e+06 2.217976772955680076e+01 5.066662430320921875e+12 3.908373215876231183e-02 4.997874982418528020e+02 3.695998524648105743e+00
4.925769714574639685e+06 2.187617999236596944e+01 5.053604411189238281e+12 3.905074178815452768e-02 4.982971617741051205e+02 3.935496957382009331e+00
4.926859080497518182e+06 2.258412307963855170e+01 5.087226337571959961e+12 3.891239152689857789e-02 4.999434186670260374e+02 3.905891513793678715e+00
4.856033119159273803e+06 2.243188972925879199e+01 5.184905940030933594e+12 3.901300704995248891e-02 4.985624657014993772e+02 3.775592144243728132e+00
4.976836125084726140e+06 2.177062893742588301e+01 5.056997906835939453e+12 3.895172221382325189e-02 4.993073367714198980e+02 3.875525218570413433e+00
4.997802727780962363e+06 2.308358534318150745e+01 5.097129731846890625e+12 3.940707003217995552e-02 4.960906829205799227e+02 3.550109922248202210e+00
4.964178576284692623e+06 2.211484659307264877e+01 5.018626535178738281e+12 3.978932063768216010e-02 4.964754181381952094e+02 3.751610259718143769e+00
4.929067093862613663e+06 2.270275320980968203e+01 5.203415371866293945e+12 3.890222658376850384e-02 4.949061564964759441e+02 3.779380748392811018e+00
4.922827039629949257e+06 2.278856103535990130e+01 5.020329822743299805e+12 3.914388142303397433e-02 4.997996300419816293e+02 3.704192722224614265e+00
4.896333764836719260e+06 2.290787998371467182e+01 5.205774066575328125e+12 3.845976910182816177e-02 4.956412674320316682e+02 3.932814131260168544e+00
4.899050647085742094e+06 2.205476492083954909e+01 5.019322339088107422e+12 3.944798568652854720e-02 4.991298481571461139e+02 3.705368643411531160e+00
4.837814673979976214e+06 2.225732176037390531e+01 5.036154393824588867e+12 3.965706001696969740e-02 4.996745124916726013e+02 3.750741789293019934e+00
4.906081611142158508e+06 2.216928064015462851e+01 5.250504115768323242e+12 3.900584363005926702e-02 4.999973656864199825e+02 3.678919687756325718e+00
4.968093538039393723e+06 2.208317963087990421e+01 5.023148161781090820e+12 3.921107446404111657e-02 4.998002950513625819e+02 3.775243968350178392e+00
4.979866076185176149e+06 2.239104913096118210e+01 5.109569119381723633e+12 3.947155681791306159e-02 4.974078050623933223e+02 3.723956681883769715e+00
4.870393685166163370e+06 2.234634691526990835e+01 5.079492316524831055e+12 3.896003122488612275e-02 4.988457636038094165e+02 3.812576882486253815e+00
4.966533698575599119e+06 2.231764177380798841e+01 5.043068882356162109e+12 3.911089321530578089e-02 4.999766804488854746e+02 3.780493611377186980e+00
4.984559160872972570e+06 2.249720271877122713e+01 5.125263125526875977e+12 3.885998945749215283e-02 4.958742805290954720e+02 3.849386281212537231e+00
4.951544823165379465e+06 2.194480708181797723e+01 5.289187645795702148e+12 3.842168643579652737e-02 4.986055085392912929e+02 3.738033469995386326e+00
4.914794981559509411e+06 2.242635662240554950e+01 5.296859465998307617e+12 3.857684373739547756e-02 4.975092478174563553e+02 3.850874148819032339e+00
4.987224387293895707e+06 2.216016739764033616e+01 5.265972512507985352e+12 3.855305755948657681e-02 4.982355896021934996e+02 3.903598925472015591e+00
4.926230522257765755e+06 2.259160071163050887e+01 5.005693979374417969e+12 3.986808343589109266e-02 4.960561711129692526e+02 3.757343200723378018e+00
4.876838413906255737e+06 2.245004896274357975e+01 5.138995593526541016e+12 3.893682649706622229e-02 4.999499069359387704e+02 3.955713727627027776e+00
4.925723102233888581e+06 2.217967923662673613e+01 5.133600368173694336e+12 3.889580959688572481e-02 4.993191908433504409e+02 3.988497571238430517e+00
4.870725351694412529e+06 2.237564994495464532e+01 5.014432671144987305e+12 3.950580260816188155e-02 4.985812711981793655e+02 3.745878644185993256e+00
4.954738597674373537e+06 2.271409749334638661e+01 5.045264792724054688e+12 3.913104884340246059e-02 4.970946670765279691e+02 3.849867303272416219e+00
4.942792541629366577e+06 2.300601934059872633e+01 5.238519963991194336e+12 3.869103778674747030e-02 4.996889098354529324e+02 3.646833417453109405e+00
4.994111218527594581e+06 2.240948009558015741e+01 5.038633629594922852e+12 3.874636160449398958e-02 4.994383461167931841e+02 3.867224843767754994e+00
4.990054574874820188e+06 2.206334064231145220e+01 5.159167177173511719e+12 3.897801721490379984e-02 4.987793362150348457e+02 3.797928266411704890e+00
4.992088031328873709e+06 2.295123622528650742e+01 5.192160350538709961e+12 3.886848804367937921e-02 4.991299430234408305e+02 3.681940218876289528e+00
4.936377465400633402e+06 2.250357827901074259e+01 5.044332892989305664e+12 3.903332688981918375e-02 4.992330785187537003e+02 3.845653774853410756e+00
4.968093538039393723e+06 2.208317963087990421e+01 5.023148161781090820e+12 3.921107446404111657e-02 4.998002950513625819e+02 3.775243968350178392e+00
4.972047244172040373e+06 2.220638647865302318e+01 5.100729515134441406e+12 3.938476009321746629e-02 4.979184437949873541e+02 3.763685653744457404e+00
4.972497591946555302e+06 2.275088164037096305e+01 5.563054727545186523e+12 3.784351547594552723e-02 4.998712709129729319e+02 3.668835580669532082e+00
4.964438681130356155e+06 2.164798625432620582e+01 5.069954585614842773e+12 3.962783124904830506e-02 4.995053930130102344e+02 3.828561750532514463e+00
4.969897934942147695e+06 2.241785900595615999e+01 5.084488983661389648e+12 3.915039829810557093e-02 4.940861546485598410e+02 3.974541587562742784e+00
4.885191577316310257e+06 2.260015891868572169e+01 5.127264607180545898e+12 3.911686576579589264e-02 4.994169173343440775e+02 3.675503084798334985e+00
4.971369994689404964e+06 2.268525404166777548e+01 5.020246727752818359e+12 3.918490568988353823e-02 4.985871941949947654e+02 3.732464219289883367e+00
4.973052092043187469e+06 2.202067651324806974e+01 5.152529448584689453e+12 3.924170850821515066e-02 4.967943181202643359e+02 3.769986594114778988e+00
4.856609598967859522e+06 2.202707576027190584e+01 5.095226075569891602e+12 3.967042369044797984e-02 4.997758137767862081e+02 3.829128774924748679e+00
4.998576487261697650e+06 2.209920267373601632e+01 5.370143537779958984e+12 3.862496931996999006e-02 4.994670683836158105e+02 3.717598962519298222e+00
4.998204876632809639e+06 2.153902222905352914e+01 5.122753142792488281e+12 3.918156749907611425e-02 4.995368367776022183e+02 3.938389028019133598e+00
4.967874626106429845e+06 2.215700200982506374e+01 5.093517557787709961e+12 3.913782315397158762e-02 4.998224446638023437e+02 3.840171191162593534e+00
4.979640360612412915e+06 2.257659041456659210e+01 5.374858074436553711e+12 3.821216498612035883e-02 4.991121362910840844e+02 3.624163249621404237e+00
4.870940315549146384e+06 2.275614316657539149e+01 5.397514297933497070e+12 3.837405893103435633e-02 4.981440800459793081e+02 3.726266343408911830e+00
4.820373836840059608e+06 2.246347711261275748e+01 5.267449405924711914e+12 3.891840505558631647e-02 4.986376087461247835e+02 3.854147039889012749e+00
4.951821457645716146e+06 2.264340442895994343e+01 5.055967386759862305e+12 3.919582906414761925e-02 4.971590037164681917e+02 3.698639357985118892e+00
4.875294688508005813e+06 2.199453769331569930e+01 5.009588646458526367e+12 3.947364238782496287e-02 4.999205329851557167e+02 3.940806381902307365e+00
4.992547516663417220e+06 2.218767047030825879e+01 5.073327193901273438e+12 3.914824484809840272e-02 4.993813470123420757e+02 3.730864618709816227e+00
4.999905327096880414e+06 2.213973703425014605e+01 5.049983462573012695e+12 3.927399494835307620e-02 4.985169027375200699e+02 3.778607418419605235e+00
4.912218424152290449e+06 2.191095908108836454e+01 5.910115120806819336e+12 3.736618584995163306e-02 4.974042493772385001e+02 3.946440533079783375e+00
4.955137003466170281e+06 2.245485487457565199e+01 5.010973219759943359e+12 3.926915884173350774e-02 4.988946431510555044e+02 3.785152086787899606e+00
4.884834766125443392e+06 2.230650938625027990e+01 5.120992947347404297e+12 3.908080223355769878e-02 4.998542631335067199e+02 3.919249407179177247e+00
4.949896232145694084e+06 2.269918595309174947e+01 5.365113130018506836e+12 3.800175093725138148e-02 4.993233536477719099e+02 3.798409111598271437e+00
4.963201232066536322e+06 2.327504777260431013e+01 5.011753106382813477e+12 3.866856876812421739e-02 4.996251398396219656e+02 3.588687886280911954e+00
4.878497624901325442e+06 2.177766701378077840e+01 5.224076531161823242e+12 3.887168435552016549e-02 4.999131283064094191e+02 3.798728619573047638e+00
4.995712881067102775e+06 2.239642172547046428e+01 5.006748258043999023e+12 3.955039376503172166e-02 4.973151092796927628e+02 3.604317465671426302e+00
4.875049733256453648e+06 2.297333517461866137e+01 5.109601870074754883e+12 3.894620607702724280e-02 4.997673587424821449e+02 3.713338074791902699e+00
4.905225177209429443e+06 2.271448471869664587e+01 5.150738268510185547e+12 3.890598371960724694e-02 4.969447310159840185e+02 3.833855170747975993e+00
4.998862975813877769e+06 2.222133155992328568e+01 5.052314530874901367e+12 3.939600385564154955e-02 4.995878174869013719e+02 3.843883600247579579e+00
4.869335106934218667e+06 2.222422804352833481e+01 5.003845921364656250e+12 3.916332567984372875e-02 4.978267176840636239e+02 3.732478277691446245e+00
4.987472174366674386e+06 2.278397713212267206e+01 5.163344710899632812e+12 3.876354745996170997e-02 4.977577171959578095e+02 3.780800688674133880e+00
4.861520159274591133e+06 2.274098540695389659e+01 5.022060241352632812e+12 3.933698093355020298e-02 4.993776142931176310e+02 3.777526241407904273e+00
4.907860484341125004e+06 2.160845515945161566e+01 5.165296566099975586e+12 3.899620202717238304e-02 4.997434402814968735e+02 3.970140787078170863e+00
4.982171328205378726e+06 2.168755231495601521e+01 5.131841273141680664e+12 3.930989545141817809e-02 4.947924226872304985e+02 3.886022427725874806e+00
4.993172292747432366e+06 2.195261437660693105e+01 5.033738813237613281e+12 3.932015516003014438e-02 4.999090676225109746e+02 3.998724379864322387e+00
4.996270920573839918e+06 2.234613758651324389e+01 5.109414714534847656e+12 3.875654373026054395e-02 4.996497343250720178e+02 3.838945097391610606e+00
4.984993876416157931e+06 2.205993936209388195e+01 5.071417131148917969e+12 3.949633966011075609e-02 4.905499645755340907e+02 3.776803910275976062e+00
4.887164929991029203e+06 2.228640035483999782e+01 5.109832953366410156e+12 3.912870428056661187e-02 4.999375495363348705e+02 4.018569563418571633e+00
4.876621056231962517e+06 2.301659614420952238e+01 5.312209741404680664e+12 3.791360384071327388e-02 4.941176291728976935e+02 3.861260012901367666e+00
4.972458127199742943e+06 2.262648879132531476e+01 5.030300238885243164e+12 3.926339865794314238e-02 4.996527536237247205e+02 3.713756827713178055e+00
4.825729702559172176e+06 2.302156383385874960e+01 5.045288466277041016e+12 3.923265649968867008e-02 4.996282923962779705e+02 3.804752739993896959e+00
4.965968483070275746e+06 2.211205036048774275e+01 5.073128347227059570e+12 3.901728696195358448e-02 4.990435911301505598e+02 3.872308630190127055e+00
4.915123232289409265e+06 2.293661116542711653e+01 5.036312992336550781e+12 3.930817546778450633e-02 4.995804712509468004e+02 3.791859135736588282e+00
4.971697948046611622e+06 2.228558860283902021e+01 5.042201607362734375e+12 3.895466832324227108e-02 4.930472403947471776e+02 3.936847177852130564e+00
4.985898716252068989e+06 2.279836544719877622e+01 5.114941973934871094e+12 3.877204116378331344e-02 4.998973729238750252e+02 3.830594613319567632e+00
4.983900745588405989e+06 2.151846017342975870e+01 5.094916640104872070e+12 3.949379499566280094e-02 4.998611712773434874e+02 3.844188362986799223e+00
4.992418014914602041e+06 2.265900932313392246e+01 5.175719556685608398e+12 3.868711948035265247e-02 4.989402999951537367e+02 3.820691982283928922e+00
4.969825168621530756e+06 2.202096138408967363e+01 5.042378381321761719e+12 3.927619573453556417e-02 4.992936418456005185e+02 3.983007342793217109e+00
4.991310917255946435e+06 2.316807039310916494e+01 5.066515442425965820e+12 3.917275752074608763e-02 4.965798868809647502e+02 3.572526950445404914e+00
4.987864835056297481e+06 2.246940419063516714e+01 5.084978608006125000e+12 3.907966831104369571e-02 4.987840609047635780e+02 3.812686679042184057e+00
4.951623971290290356e+06 2.153767208128111932e+01 5.029640115329008789e+12 3.950851602877780699e-02 4.989289618926988510e+02 3.926518930107390837e+00
4.942006356854589656e+06 2.211361884896653152e+01 5.135454662178811523e+12 3.896756360078214992e-02 4.995692640381427054e+02 3.892827915450007392e+00
4.959379796453412622e+06 2.204234788727923444e+01 5.173037570657952148e+12 3.881347494859320457e-02 4.997228899381597103e+02 3.939623883947649396e+00
4.766828102361859754e+06 2.279565255086158970e+01 5.085685260521871094e+12 3.928685409521817662e-02 4.998318524598870454e+02 3.741893577688959027e+00
4.953041014941476285e+06 2.241206029265351418e+01 5.059334278680498047e+12 3.988562551342835633e-02 4.996448773423735474e+02 3.709660634281071179e+00
4.827147120819631964e+06 2.299819626115695570e+01 5.037124329982564453e+12 3.906119780331883395e-02 4.996640070525261876e+02 3.684404853936239288e+00
4.859620885591750033e+06 2.239770137097101355e+01 5.168000502873282227e+12 3.836398049316861597e-02 4.975965474542205698e+02 3.918514579643181506e+00
4.925048999960094690e+06 2.265800682501816965e+01 5.018253312918310547e+12 3.948990468826708844e-02 4.964643590061320424e+02 3.803654957730973951e+00
4.948453555884899572e+06 2.223050115670856997e+01 5.104929819207182617e+12 3.935100385728707018e-02 4.990592795602650540e+02 3.705103589350451365e+00
4.963408755146062933e+06 2.194103718870417197e+01 5.088974440384252930e+12 3.905450415757785038e-02 4.999758652222577666e+02 3.809711364823848090e+00
4.967519981382810511e+06 2.196462827664367268e+01 5.267373430078045898e+12 3.860346638137081288e-02 4.995159570459743463e+02 3.882645163549450107e+00
4.992480221447980031e+06 2.229968719402018351e+01 5.041770145392840820e+12 3.930901185617834137e-02 4.934824509960163255e+02 3.807342384515603584e+00
4.994648842239597812e+06 2.225395840532578973e+01 5.104484787176841797e+12 3.933912532610093354e-02 4.978160303692252455e+02 3.821641384716528034e+00
4.920305423956871033e+06 2.274553566795959370e+01 5.069867609290733398e+12 3.891530013482554645e-02 4.996838706580047642e+02 3.808023831217493438e+00
4.985823459180173464e+06 2.183385007312887183e+01 5.515308387376892578e+12 3.783048710050709862e-02 4.989008540898357182e+02 3.881353268780966204e+00
4.944436694021923468e+06 2.211969216140715133e+01 5.000263819194633789e+12 3.937975642534464332e-02 4.965095885297237146e+02 3.934115534600154618e+00
4.994546795237822458e+06 2.280427107963473077e+01 5.108707526299451172e+12 3.918460066090437288e-02 4.987663254572433402e+02 3.765537931603973654e+00
4.627466629417447373e+06 2.344703100721948275e+01 5.191920016549026367e+12 3.905664378644928963e-02 4.985774741521984765e+02 3.683287663873840767e+00
4.867913113281209022e+06 2.227815242202221668e+01 5.190615198374666992e+12 3.874811191562452933e-02 4.986203229196209463e+02 3.909417018311970082e+00
4.948591175114879385e+06 2.173529138178916043e+01 5.003058926317135742e+12 3.937983756566196258e-02 4.997029705397020507e+02 3.936473391257844678e+00
4.973839344133852050e+06 2.241601381824443706e+01 5.401906447050338867e+12 3.816011040763211265e-02 4.998704886827525229e+02 3.806225596033530945e+00
4.968933459003744647e+06 2.279575279749301586e+01 5.132264468221360352e+12 3.882887807355620696e-02 4.997015232334990174e+02 3.834657353531446766e+00
4.964177692138049752e+06 2.300223280485985100e+01 5.069083150294639648e+12 3.865674403784097324e-02 4.989205272111134946e+02 3.762383799816496843e+00
4.986569539122477174e+06 2.276826515129474870e+01 5.031607555846071289e+12 3.877424747357361562e-02 4.989667860293052968e+02 3.795375898664594683e+00
4.885757768115574494e+06 2.163598800234582953e+01 5.241076369905679688e+12 3.901951451190128345e-02 4.996261369219361654e+02 3.852284637833905290e+00
4.758814976670277305e+06 2.243990214975899988e+01 5.101047195687956055e+12 3.888002856271634972e-02 4.995622531724113742e+02 3.851107630869662568e+00
4.570331245747272857e+06 2.398175582159058195e+01 5.041438690658749023e+12 3.931905433977085640e-02 4.994744274793239924e+02 3.708760974664416565e+00
4.850384323388660327e+06 2.281471281562507869e+01 5.436142259863088867e+12 3.824141524055445912e-02 4.990589607016996183e+02 3.699104512776522302e+00
4.929235697481316514e+06 2.176643111996038016e+01 5.052737578368650391e+12 3.970564496332180948e-02 4.964249224516711365e+02 3.998789904081908375e+00
4.907102476014932618e+06 2.316960842484214567e+01 5.085706779385782227e+12 3.854356896245675346e-02 4.995149381275875271e+02 3.747534779383000281e+00
4.996409813305808231e+06 2.275717700914660924e+01 5.216608177530675781e+12 3.883292403456370390e-02 4.980285080384887806e+02 3.783811094970749966e+00
4.892135874552532099e+06 2.311698357204194920e+01 5.277935223113173828e+12 3.867531846284886360e-02 4.998952569734196913e+02 3.580894274478545913e+00
4.967088366699310020e+06 2.305551217888512383e+01 5.102375671464839844e+12 3.905896201937333889e-02 4.999558092928431279e+02 3.759933260202739547e+00
4.928044566354889423e+06 2.258502791562686696e+01 5.022928290868106445e+12 3.902839887147866588e-02 4.976337731117080239e+02 3.605609405267394152e+00
4.981157980168174021e+06 2.298907013562178037e+01 5.200111945742861328e+12 3.844552305051091717e-02 4.991535775588169486e+02 3.682628135130108227e+00
4.983872129051465541e+06 2.233743480430236161e+01 5.300436472360930664e+12 3.824864936426315004e-02 4.988416561431084233e+02 3.894442117326645914e+00
4.979924668068150058e+06 2.236071830928671389e+01 5.095501431295971680e+12 3.877613996767707155e-02 4.962755831306733398e+02 4.021993333496615364e+00
4.967555863531593233e+06 2.267266457274027758e+01 5.188036981128660156e+12 3.869585349747180214e-02 4.987443268399561589e+02 3.496625096738485095e+00
4.987728969663808122e+06 2.208740093635354640e+01 5.201643580972609375e+12 3.868773510000681620e-02 4.986287645829126518e+02 3.793937299205215385e+00
4.863630838480940089e+06 2.222542040790235518e+01 5.030775770282678711e+12 3.930877777619706803e-02 4.999352924839844263e+02 3.915640784539978547e+00
4.984150475552190095e+06 2.189665479181327612e+01 5.035600564496049805e+12 3.927267759384028833e-02 4.989220544783871674e+02 3.864650298655509797e+00
4.967491015893770382e+06 2.177744869298188490e+01 5.101593789651544922e+12 3.952736707711128339e-02 4.973897885736459443e+02 3.761211321297062593e+00
4.873528110879018903e+06 2.332843741625587342e+01 5.307135253078721680e+12 3.835629972672980476e-02 4.997118752877912016e+02 3.680436709258968708e+00
4.945959454098893330e+06 2.268490528292684161e+01 5.019591349160249023e+12 3.917437124781901481e-02 4.997722078553822485e+02 3.712546631909923622e+00
4.991133753945717588e+06 2.235294959694940076e+01 5.048172547547903320e+12 3.954459177341408671e-02 4.993058495904014649e+02 3.697438036595845023e+00
4.782490525722242892e+06 2.224741221234113553e+01 5.196769772956089844e+12 3.869592206625969283e-02 4.993016923089616625e+02 3.936969885758643262e+00
4.899050647085742094e+06 2.205476492083954909e+01 5.019322339088107422e+12 3.944798568652854720e-02 4.991298481571461139e+02 3.705368643411531160e+00
4.982055777607754804e+06 2.284305927598467179e+01 5.413952991773416992e+12 3.834125857279160193e-02 4.987062070739956994e+02 3.583856752515025335e+00
4.849842842265057378e+06 2.240807602494640705e+01 5.059182229626892578e+12 3.966779674388733884e-02 4.993092158318317502e+02 3.706408751384794975e+00
4.975674269521104172e+06 2.260546355032624533e+01 5.043428029162480469e+12 3.904178722866822465e-02 4.988244485024794130e+02 3.815506556790825954e+00
4.980588190171618946e+06 2.288353173457546319e+01 5.026789395418695312e+12 3.970122712483340616e-02 4.943345474900393697e+02 3.572389264220726446e+00
4.988753904978969134e+06 2.256646357580090267e+01 5.101336378267651367e+12 3.900796116348895226e-02 4.983654690637023918e+02 3.861784115522252314e+00
4.974404923697443679e+06 2.231169467141717533e+01 5.134215851036909180e+12 3.925142403784891848e-02 4.984728314332172090e+02 3.694208014573040710e+00
4.987507474245510064e+06 2.237455969027531921e+01 5.210803875343807617e+12 3.823420970073259512e-02 4.996632992570798706e+02 3.773110406649231141e+00
4.949896232145694084e+06 2.269918595309174947e+01 5.365113130018506836e+12 3.800175093725138148e-02 4.993233536477719099e+02 3.798409111598271437e+00
4.958414895280627534e+06 2.238367831951764231e+01 5.006289846139320312e+12 3.944333236865136399e-02 4.986122372626653032e+02 3.736349271913957271e+00
4.981813704636294395e+06 2.201429987999189564e+01 5.113045749293886719e+12 3.914874999180198434e-02 4.999122900626561545e+02 4.010765550684898706e+00
4.911347224467832595e+06 2.251863080275269624e+01 5.146430668283734375e+12 3.862546254221059516e-02 4.989894597595324512e+02 3.645251676528314277e+00
4.800263039942733012e+06 2.263828286020599734e+01 5.222004822954028320e+12 3.865442323678255909e-02 4.989745551088660704e+02 3.851064627004392005e+00
4.952498369925534353e+06 2.287856216621638339e+01 5.065619635879151367e+12 3.895299369215009244e-02 4.999648059192377332e+02 3.802507053847388629e+00
4.977814538231706247e+06 2.300920145279269491e+01 5.411940170458413086e+12 3.820650066491216440e-02 4.995208997846705188e+02 3.668113395028067991e+00
4.823228179658910260e+06 2.324976852735791155e+01 5.306961392025618164e+12 3.846200593096252979e-02 4.988943625649228011e+02 3.778836184240237817e+00
4.972160177688311785e+06 2.242116159113575335e+01 5.065644281137344727e+12 3.918508472261575393e-02 4.990736505426193048e+02 3.754386915765239863e+00
4.970015664575043134e+06 2.197558420321768580e+01 5.103102396773836914e+12 3.917672217621401276e-02 4.964038099926559084e+02 3.917581902452296205e+00
4.961834123306944966e+06 2.267736274277600472e+01 5.154554633827267578e+12 3.844604955024596982e-02 4.994608722828215832e+02 3.693034769866919476e+00
4.988067894731564447e+06 2.244277645430744528e+01 5.081475666846625977e+12 3.898652233861012173e-02 4.995726089307248685e+02 3.842350515366850239e+00
4.971965440130542032e+06 2.217198004597011618e+01 5.059660186739526367e+12 3.932996257309351318e-02 4.982447343689722175e+02 3.810568905719146304e+00
4.975649025047166273e+06 2.225230047659955090e+01 5.059612082631685547e+12 3.920073635408490020e-02 4.998574956600412520e+02 3.735427119490151604e+00
4.995025301632558927e+06 2.301607995156719255e+01 5.243979788821207031e+12 3.836140049186820972e-02 4.987643945533114902e+02 3.638863135397746529e+00
4.939692957806071267e+06 2.294648560822551531e+01 5.868034463728422852e+12 3.681291192898027143e-02 4.998560311409335100e+02 3.797151983719926793e+00
4.958535319627361372e+06 2.166534540962429745e+01 5.131465322279072266e+12 3.920166477020271129e-02 4.997342904542854853e+02 3.961679610374895688e+00
4.860552174306788482e+06 2.162544345222926978e+01 5.017806170098421875e+12 3.946800485575682055e-02 4.994216797166577635e+02 3.930374259233043954e+00
4.995111277634457685e+06 2.198666815862678448e+01 5.006911322969879883e+12 3.938076096218758732e-02 4.979390759255990702e+02 3.859992322844985502e+00
4.934040944992743433e+06 2.272239199033482748e+01 5.022188430953230469e+12 3.903105162505843273e-02 4.993626602045343361e+02 3.654309169759891951e+00
4.978918997611855157e+06 2.209332359193594186e+01 5.532717265070805664e+12 3.796987127712081467e-02 4.987849255510910780e+02 3.891772460562198166e+00
4.912142785496774130e+06 2.222133808482378825e+01 5.101091759993873047e+12 3.927852278871762221e-02 4.994137044755256056e+02 3.855474744987161806e+00
4.998033709911568090e+06 2.280515569284227695e+01 5.072942582550009766e+12 3.924440171184732928e-02 4.980736798122320579e+02 3.691613341043521235e+00
4.963306569933434948e+06 2.217976772955680076e+01 5.066662430320921875e+12 3.908373215876231183e-02 4.997874982418528020e+02 3.695998524648105743e+00
4.910029686920072883e+06 2.231183431927326311e+01 5.028207743763790039e+12 3.947522094728469350e-02 4.996601827137375267e+02 3.696253276659915432e+00
4.993355663583410904e+06 2.232103850740287498e+01 5.020257332807506836e+12 3.967916862666799604e-02 4.972843810027044356e+02 3.811538711646884625e+00
4.995381596816509031e+06 2.259597243149368495e+01 5.069133923154859375e+12 3.902247606280596914e-02 4.988826511624970408e+02 3.782539985811490091e+00
4.839935388617413118e+06 2.274818125043940853e+01 5.037254043418655273e+12 3.919027551100633111e-02 4.998397680884232273e+02 3.783478596958801177e+00
4.856828485011815093e+06 2.229101891402449098e+01 5.174242092187455078e+12 3.837293012831169414e-02 4.993213688058020807e+02 3.905209972357937875e+00
4.910029686920072883e+06 2.231183431927326311e+01 5.028207743763790039e+12 3.947522094728469350e-02 4.996601827137375267e+02 3.696253276659915432e+00
4.917380722012568265e+06 2.291486221537892831e+01 5.007257431782895508e+12 3.956565493283834695e-02 4.992465300752599546e+02 3.674104485244550133e+00
4.952278465599449351e+06 2.224592886341385167e+01 5.055657557692590820e+12 3.934713527031444280e-02 4.997261126825441124e+02 3.687987822802210935e+00
4.958150150344629772e+06 2.220365041142601825e+01 5.189908212912600586e+12 3.899802956859824837e-02 4.995121139737769909e+02 3.958905445698914782e+00
4.993714900282597169e+06 2.164012211203475999e+01 5.049850659570531250e+12 3.969201063226380360e-02 4.992149115268222204e+02 3.839671171658344928e+00
4.983345580547325313e+06 2.213542666402781478e+01 5.000126335825279297e+12 3.953323839313558491e-02 4.996856869319433940e+02 3.828759848908451335e+00
4.789090514158694074e+06 2.252757377952633533e+01 5.156246479597915039e+12 3.910589546330761612e-02 4.997494098467973913e+02 3.810039117784978391e+00
4.992278734563970938e+06 2.227220933469167718e+01 5.226655230788329102e+12 3.860586495040436300e-02 4.992601942913407811e+02 3.841758589124892431e+00
4.986779821558231488e+06 2.304635207441171829e+01 5.008199944550459961e+12 3.938538902661966462e-02 4.997095341422464116e+02 3.470854879415396166e+00
4.990739803584681824e+06 2.200069372892003372e+01 5.218662143634539062e+12 3.889059776520341349e-02 4.986969064845372372e+02 3.808431473942116341e+00
4.910067896628744900e+06 2.224415288621946019e+01 5.036338089213778320e+12 3.920222813766634229e-02 4.990507604881699422e+02 3.834397996025778355e+00
4.929085590341109782e+06 2.206445998858966817e+01 5.009312788115750977e+12 3.940637132503714557e-02 4.999860603191885957e+02 3.947569986411229692e+00
4.962899326723059639e+06 2.223171597927700915e+01 5.259794408566917969e+12 3.874638926914830694e-02 4.995847671276569599e+02 3.859223256525071921e+00
4.991794804213305935e+06 2.278230768147208352e+01 5.145640837753827148e+12 3.867428489502768713e-02 4.993339459813697090e+02 3.637120929546227455e+00
4.975892634328411892e+06 2.320227177938570406e+01 5.161615799995681641e+12 3.878069723954994524e-02 4.999609226922319749e+02 3.763537748850613873e+00
4.980052120808199048e+06 2.268044220987237836e+01 5.193260588096956055e+12 3.902420713024178089e-02 4.993550959107242875e+02 3.743797968156575173e+00
4.990162630308852531e+06 2.170935587152752078e+01 5.000865610111929688e+12 3.933474984078940556e-02 4.982104819770825657e+02 3.903059173767098322e+00
4.926892099568353966e+06 2.253650578078856626e+01 5.010729995462910156e+12 3.973297486738693041e-02 4.990044804245062551e+02 3.687745914980886663e+00
4.924111966266377829e+06 2.302714368437010251e+01 5.049628009088284180e+12 3.888771897318984289e-02 4.998923399306877968e+02 3.771614717323268362e+00
4.943088452437177300e+06 2.325249839088255754e+01 5.018342277465058594e+12 3.873887800430601824e-02 4.978870809404617148e+02 3.778670433202091061e+00
4.994782570983391255e+06 2.211685206729980990e+01 5.259246932613599609e+12 3.881550796301726919e-02 4.995133943750910248e+02 3.905914586013530254e+00
4.891518399235846475e+06 2.220177211861948763e+01 5.140396931626807617e+12 3.865148464559246128e-02 4.998430461423068323e+02 3.884955596686897383e+00
4.852976753512999043e+06 2.251168468653969157e+01 5.150303605319335938e+12 3.897983577989613813e-02 4.996917149611090281e+02 3.760369384552801453e+00
4.970053546333380044e+06 2.204023130152905452e+01 5.143552549622763672e+12 3.939782351746112798e-02 4.987633703782105954e+02 3.744907290404043021e+00
