logz logzerr logvol nlive logl logwt insert_order
-3.553340614193379879e+05 2.707064155957044022e+03 -7.250000000000002276e-02 4.000000000000000000e+02 -3.415580781979871681e+05 -3.415641434122738428e+05 1.389999999999999902e+00
-3.415641434122738428e+05 6.918477199711224785e+03 -7.500000000000002498e-02 4.000000000000000000e+02 -3.398838550422165426e+05 -3.398899227565032197e+05 9.949999999999999956e-01
-3.398899227565032197e+05 5.582313425516162170e+03 -7.750000000000002720e-02 4.000000000000000000e+02 -3.391364831237490289e+05 -3.391425533380357083e+05 3.350000000000000200e-01
-3.391425533380357083e+05 3.523433140676504536e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -3.358576844812154304e+05 -3.358637571955021122e+05 1.915000000000000036e+00
-3.358637571955021122e+05 1.616885195302611237e+03 -8.250000000000003164e-02 4.000000000000000000e+02 -3.320552903487254516e+05 -3.320613655630121357e+05 1.000000000000000056e-01
-3.320613655630121357e+05 3.187280894005575192e+03 -8.500000000000003386e-02 4.000000000000000000e+02 -3.289061410059824702e+05 -3.289122187202691566e+05 8.900000000000000133e-01
-3.289122187202691566e+05 2.911573389168002450e+03 -8.750000000000003608e-02 4.000000000000000000e+02 -3.212062131915243226e+05 -3.212122934058110113e+05 1.649999999999999911e+00
-3.212122934058110113e+05 5.633329423963253248e+03 -9.000000000000003830e-02 4.000000000000000000e+02 -3.199794607553469250e+05 -3.199855434696336160e+05 1.020000000000000018e+00
-3.199855434696336160e+05 5.531689354271646152e+03 -9.250000000000004052e-02 4.000000000000000000e+02 -3.159561822685181396e+05 -3.159622674828048330e+05 9.100000000000000311e-01
-3.159622674828048330e+05 6.340477450697238055e+03 -9.500000000000004274e-02 4.000000000000000000e+02 -3.128491168522775406e+05 -3.128552045665642363e+05 2.500000000000000000e-01
-3.128552045665642363e+05 7.247752153915336748e+03 -9.750000000000004496e-02 4.000000000000000000e+02 -3.086138811691711308e+05 -3.086199713834578288e+05 1.264999999999999902e+00
-3.086199713834578288e+05 3.418338994203829770e+03 -1.000000000000000472e-01 4.000000000000000000e+02 -3.057581666272160364e+05 -3.057642593415027368e+05 6.949999999999999512e-01
-3.057642593415027368e+05 2.978754938402410062e+03 -1.025000000000000494e-01 4.000000000000000000e+02 -3.053162778440302936e+05 -3.053223730583169963e+05 1.304999999999999938e+00
-3.053223730583169963e+05 2.144413530071138666e+03 -1.050000000000000516e-01 4.000000000000000000e+02 -3.024701252476930385e+05 -3.024762229619797436e+05 1.030000000000000027e+00
-3.024762229619797436e+05 1.982045499380835963e+03 -1.075000000000000538e-01 4.000000000000000000e+02 -3.004657578310521203e+05 -3.004718580453388277e+05 1.209999999999999964e+00
-3.004718580453388277e+05 2.162866521683624342e+03 -1.100000000000000561e-01 4.000000000000000000e+02 -2.943678271604444017e+05 -2.943739298747311113e+05 1.584999999999999964e+00
-2.943739298747311113e+05 3.433265043244251956e+03 -1.125000000000000583e-01 4.000000000000000000e+02 -2.886794506374932826e+05 -2.886855558517799946e+05 8.149999999999999467e-01
-2.886855558517799946e+05 3.621223511882919865e+03 -1.150000000000000605e-01 4.000000000000000000e+02 -2.882351413807605277e+05 -2.882412490950472420e+05 1.000000000000000056e-01
-2.882412490950472420e+05 2.576712524518076407e+03 -1.175000000000000627e-01 4.000000000000000000e+02 -2.880182289354875102e+05 -2.880243391497742268e+05 1.429999999999999938e+00
-2.880243391497742268e+05 1.733141710031658704e+03 -1.200000000000000649e-01 4.000000000000000000e+02 -2.877070214855217491e+05 -2.877131341998084681e+05 2.999999999999999889e-01
-2.877131341998084681e+05 2.781580551069873195e+02 -1.225000000000000672e-01 4.000000000000000000e+02 -2.872211543140967842e+05 -2.872272695283834473e+05 8.599999999999999867e-01
-2.872272695283834473e+05 2.394333403489461318e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.868006640552147292e+05 -2.868067817695013946e+05 4.349999999999999978e-01
-2.868067817695013946e+05 3.402738078337566776e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.827120317127244780e+05 -2.827181519270111457e+05 8.850000000000000089e-01
-2.827181519270111457e+05 2.215696008211074513e+03 -1.300000000000000600e-01 4.000000000000000000e+02 -2.809748320566064795e+05 -2.809809547708931495e+05 1.945000000000000062e+00
-2.809809547708931495e+05 2.010446909665039584e+03 -1.325000000000000622e-01 4.000000000000000000e+02 -2.790706328234431567e+05 -2.790767580377298291e+05 1.185000000000000053e+00
-2.790767580377298291e+05 5.264108665527759285e+02 -1.350000000000000644e-01 4.000000000000000000e+02 -2.769554372403391753e+05 -2.769615649546258501e+05 1.524999999999999911e+00
-2.769615649546258501e+05 1.325374290684329253e+03 -1.375000000000000666e-01 4.000000000000000000e+02 -2.753433515911748400e+05 -2.753494818054615171e+05 1.679999999999999938e+00
-2.753494818054615171e+05 1.579811786407220325e+03 -1.400000000000000688e-01 4.000000000000000000e+02 -2.742069566767914221e+05 -2.742130893910781015e+05 1.350000000000000089e+00
-2.742130893910781015e+05 8.307620620688063582e+02 -1.425000000000000711e-01 4.000000000000000000e+02 -2.720995268918990041e+05 -2.721056621061856858e+05 1.415000000000000036e+00
-2.721056621061856858e+05 1.312653424552369870e+03 -1.450000000000000733e-01 4.000000000000000000e+02 -2.695959402273001615e+05 -2.696020779415868456e+05 1.024999999999999911e+00
-2.696020779415868456e+05 1.674051100578155456e+03 -1.475000000000000755e-01 4.000000000000000000e+02 -2.688416467818802339e+05 -2.688477869961669203e+05 1.090000000000000080e+00
-2.688477869961669203e+05 1.739517762282898047e+03 -1.500000000000000777e-01 4.000000000000000000e+02 -2.676928430557883694e+05 -2.676989857700750581e+05 8.599999999999999867e-01
-2.676989857700750581e+05 7.369407597684785287e+02 -1.525000000000000799e-01 4.000000000000000000e+02 -2.664529768424909562e+05 -2.664591220567776472e+05 5.699999999999999512e-01
-2.664591220567776472e+05 1.097338553510422571e+03 -1.550000000000000822e-01 4.000000000000000000e+02 -2.647824716752648819e+05 -2.647886193895515753e+05 8.699999999999999956e-01
-2.647886193895515753e+05 8.043252095006592981e+02 -1.575000000000000844e-01 4.000000000000000000e+02 -2.636855922144094948e+05 -2.636917424286961905e+05 1.409999999999999920e+00
-2.636917424286961905e+05 5.483937899509926410e+02 -1.600000000000000866e-01 4.000000000000000000e+02 -2.602210933657283313e+05 -2.602272460800150293e+05 5.450000000000000400e-01
