weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -3.692747013134423760e+05 6.795721081071850467e-01 3.782455027308216922e-01 7.945452656302023353e-01 8.881759219074411016e-01 2.897294208867592369e-01 1.419469172933884860e-01
0.000000000000000000e+00 -3.645015305720577016e+05 5.322236390013661556e-01 9.687147947477464660e-01 9.499636875885218990e-01 7.034512236376847527e-01 6.368141294257197993e-01 1.422967683440853337e-01
0.000000000000000000e+00 -3.601635321724258247e+05 8.284987870693266698e-01 4.022468209564030728e-01 4.638392966157456332e-01 9.748617221204314287e-01 3.663880378387515124e-01 6.240353874794191125e-01
0.000000000000000000e+00 -3.565853661635854514e+05 8.846461507185879869e-01 8.445439626081036044e-01 9.356568605893172963e-01 5.965485154280618652e-01 8.715115695798506534e-01 6.876600430074804038e-01
0.000000000000000000e+00 -3.553279987050513155e+05 6.356345619567138616e-02 9.669473926162930333e-02 7.544259157175874364e-01 9.667789078392047264e-01 3.027698986588988062e-01 1.011272206525695161e-01
0.000000000000000000e+00 -3.415580781979871681e+05 4.175253084418473204e-01 8.060012070361536329e-01 4.772775390049962541e-01 9.055516418447392413e-01 3.181739203312988762e-01 2.794014679287025738e-01
0.000000000000000000e+00 -3.398838550422165426e+05 9.862220805461973105e-01 9.321842256198580312e-01 2.829692087286318491e-01 6.118905023847630575e-01 1.036027653294018247e-01 1.376555791805175177e-01
0.000000000000000000e+00 -3.391364831237490289e+05 7.595636382995633040e-01 4.166009885597581341e-01 5.646181879351163113e-01 9.155018891182424845e-01 2.689770437694456451e-01 4.736231054381735417e-01
0.000000000000000000e+00 -3.358576844812154304e+05 3.389222618161396028e-01 9.171314292192106477e-01 3.517959925068970817e-01 9.585892536018916221e-01 1.575187757750263762e-01 3.726738036512060592e-01
0.000000000000000000e+00 -3.320552903487254516e+05 6.409021722302263857e-01 7.445741750279240012e-01 1.974022830361488179e-01 9.959951185337364565e-01 4.758902111125784540e-02 8.328354121402049559e-01
0.000000000000000000e+00 -3.289061410059824702e+05 9.793740607622695160e-01 3.473780798192918073e-01 9.303507876401176935e-01 7.889444167917584183e-01 6.448113581670236183e-01 3.306691359463567181e-01
0.000000000000000000e+00 -3.212062131915243226e+05 4.236302172108443731e-01 9.150066034508127499e-01 7.049818946795104457e-01 7.706527296607457167e-01 1.585448243912639388e-01 8.884360789840884953e-01
0.000000000000000000e+00 -3.199794607553469250e+05 3.084015037866644215e-01 9.832804031642735643e-01 3.157619748271524029e-01 9.545436938441118624e-01 3.149010034235977251e-02 6.397460214971433246e-01
0.000000000000000000e+00 -3.159561822685181396e+05 2.333085169607811427e-01 5.905966813380677527e-01 6.457495258356320544e-01 8.900299939574111141e-01 8.307438335246370986e-01 8.320918441396146781e-01
0.000000000000000000e+00 -3.128491168522775406e+05 8.545985283820139999e-01 6.214261107815917118e-01 9.157681684817965406e-01 6.780865608754338414e-01 5.992506619928341660e-01 4.769296153884710066e-01
0.000000000000000000e+00 -3.086138811691711308e+05 6.472507416368226130e-01 8.951789341425440139e-01 1.069935629006748545e-01 9.053685154334301100e-01 7.778346356093126523e-01 4.292309928383432061e-01
0.000000000000000000e+00 -3.057581666272160364e+05 9.322413117962236040e-01 3.973330900744217464e-01 8.005216055929997854e-01 7.819057067248812443e-01 6.090817694786766490e-01 5.438091493379130226e-01
